"","psraid","sample","state","cregion","usr","intuse","pialql1","smart3","pial1a","pial1b","pial1c","pial1d","pial1e","pial1f","pial1g","pial1h","pial1i","pial1j","pial1k","pial2","pial3a","pial3b","pial3c","pial3d","pial3e","pial3f","pial3g","pial3h","pial3i","pial4","pial5","pial6a","pial6b","pial6c","pial7a","pial7b","pial7c","pial7d","pial7e","pial7f","pial7g","pial7h","pial7i","pial7j","pial7k","pial8a","pial8b","pial8c","pial8d","pial8e","pial8f","pial8g","pial8h","pial8i","pial8j","pial8k","act87","act112","pial9a","pial9b","pial9c","pial9d","pial9e","pial9f","pial9g","pial9h","pial9i","pial9j","pial10","pial11a","pial11b","pial11c","pial11d","pial11e","pial11f","pial11g","pial11h","pial12","pial13","ql1a","qc1","hh1","employ","par","sex","age","marital","educ2","hisp","race","inc","income","reg","party","partyln","ideo","tp","weight","standwt"
"777",202038,2,36,1,"U",1,1,1,8,2,2,2,2,2,2,1,2,1,2,1,1,2,3,2,2,3,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,NA,2,1,3,1,1,35,6,3,1,9,3,1,2,2,NA,5,3,8,2.3918291107325
"778",202039,2,31,2,"R",1,1,1,2,2,2,2,1,2,2,1,1,1,1,2,3,1,3,3,3,3,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,NA,2,2,1,2,2,23,2,6,2,1,8,4,1,1,NA,4,1,2.96551724137931,0.886626308288771
"779",202051,2,51,3,"U",1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,8,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,NA,2,2,1,1,2,27,1,4,2,1,3,1,3,4,9,8,3,8,2.3918291107325
"781",202055,2,36,1,"U",1,1,2,8,2,8,8,1,1,1,8,2,2,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,NA,2,3,3,2,2,21,6,6,1,1,99,4,1,2,NA,3,2,8,2.3918291107325
"782",202057,2,39,2,"S",1,1,1,1,2,2,2,1,2,8,1,2,1,1,1,3,3,1,1,1,3,3,3,3,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,NA,1,4,1,2,1,21,6,3,2,1,1,1,3,1,NA,3,1,2.48275862068966,0.742291792985948
"783",202069,2,12,3,"S",1,1,1,2,1,3,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,8,2,2,2,2,2,2,2,9,2,NA,2,3,1,2,1,52,1,2,1,4,99,9,1,3,9,3,3,8,2.3918291107325
"784",202087,2,39,2,"U",1,1,1,1,8,2,1,2,2,2,1,2,2,1,2,1,8,1,5,8,1,2,1,1,2,1,1,1,8,2,1,2,2,8,2,2,2,1,2,2,2,2,2,2,9,2,9,3,2,1,2,1,2,1,1,2,2,2,2,8,2,2,8,3,2,2,2,2,2,2,2,2,2,1,NA,2,4,1,2,1,61,2,3,2,2,99,3,1,3,2,3,2,4.41379310344828,1.31962985419724
"785",202089,2,47,3,"S",1,1,1,8,8,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,NA,2,2,1,1,2,29,1,3,2,1,2,1,1,3,9,3,3,6.82758620689655,2.04130243071136
"786",202095,2,36,1,"S",1,1,2,1,1,3,2,1,1,1,1,1,8,1,2,1,1,1,3,3,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,3,2,2,2,2,2,2,2,2,2,1,NA,2,2,1,1,1,32,1,8,2,1,5,2,1,2,NA,5,2,3.10344827586207,0.927864741232435
"787",202106,2,55,2,"R",1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,3,3,2,1,1,2,2,2,2,2,1,2,2,2,1,1,8,8,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,NA,2,1,1,1,1,26,6,5,2,1,5,2,1,1,NA,2,8,4.68965517241379,1.40210672008457
"788",202118,2,17,2,"S",1,1,1,1,1,2,1,3,2,1,1,2,2,8,2,3,4,4,3,3,3,3,3,4,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,1,2,NA,1,3,3,2,1,69,1,8,2,1,8,4,1,1,NA,2,3,1.82758620689655,0.546409236503545
"789",202130,2,48,3,"U",1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,3,1,3,3,1,1,1,3,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,8,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,NA,2,2,3,2,1,24,6,4,2,1,1,1,1,1,NA,2,1,3.41379310344828,1.02065121535568
"790",202154,2,53,4,"S",1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,NA,2,1,1,2,2,30,6,8,2,3,1,1,3,3,1,2,3,5.27586206896552,1.57737006009514
"792",202164,2,53,4,"R",1,1,2,8,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,8,1,8,2,1,8,8,2,8,2,2,1,1,2,2,2,2,3,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,8,2,2,2,1,2,2,2,2,2,1,NA,2,1,3,2,2,45,3,3,2,4,99,1,1,2,NA,8,3,5.20689655172414,1.55675084362331
"793",202167,2,6,4,"U",1,1,2,1,2,1,1,3,3,1,1,2,2,1,2,3,1,3,3,3,3,3,3,3,1,2,1,1,1,1,1,2,8,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,NA,2,1,3,1,1,21,6,2,1,2,1,1,3,3,2,4,2,4.75862068965517,1.4227259365564
"794",202174,2,51,3,"R",1,1,1,8,8,8,8,2,2,2,2,2,2,8,1,3,3,3,3,1,3,3,3,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,2,3,3,1,2,49,1,4,2,5,9,4,3,3,2,3,3,8,2.3918291107325
"795",202185,2,6,4,"U",1,1,1,1,1,2,1,1,8,1,1,1,1,1,2,3,3,3,8,2,2,2,2,3,1,2,1,1,1,2,2,2,2,1,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,NA,1,2,1,2,1,56,1,8,2,1,8,4,1,1,NA,2,2,1.75862068965517,0.525790020031713
"796",202186,2,6,4,"R",1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,NA,2,2,1,2,1,37,1,5,1,6,7,4,1,3,2,3,2,8,2.3918291107325
"797",202187,2,53,4,"S",1,1,1,1,1,8,1,2,2,2,2,2,8,1,1,3,1,2,3,3,2,3,2,3,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,8,2,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,2,2,2,8,1,NA,1,2,1,1,1,56,1,4,2,2,6,3,1,2,NA,4,2,1.96551724137931,0.587647669447209
"799",202204,2,6,4,"U",1,1,1,1,2,2,2,2,8,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,2,3,3,2,1,18,6,3,1,6,3,1,3,1,NA,2,1,6.27586206896552,1.8763486989367
"800",202209,2,48,3,"U",1,1,8,8,8,8,8,3,2,2,8,2,3,8,1,5,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,1,2,3,2,2,62,5,3,2,1,2,1,2,4,1,4,3,3.41379310344828,1.02065121535568
"801",202210,2,6,4,"U",1,1,1,2,2,2,2,2,2,2,1,2,8,2,1,1,3,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,NA,1,2,1,1,1,38,1,6,2,2,9,4,2,3,2,3,3,3.24137931034483,0.969103174176098
"802",202225,2,56,4,"R",2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,5,5,1,5,5,5,5,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,1,1,NA,2,4,3,2,1,57,3,1,1,6,1,1,3,2,NA,2,3,4.44827586206897,1.32993946243316
"803",202237,2,4,4,"U",1,1,1,8,2,2,2,2,2,2,1,2,2,1,1,2,1,3,1,1,3,2,1,1,2,1,1,1,2,2,2,2,2,8,2,8,2,1,1,2,2,1,3,8,8,2,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,1,2,2,2,NA,1,3,3,2,2,57,4,4,2,1,1,1,1,2,NA,2,2,2.06896551724138,0.618576494154956
"804",202245,2,6,4,"S",1,1,1,1,8,8,8,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,3,2,1,2,2,2,2,2,2,8,1,NA,1,4,3,2,1,23,6,4,2,3,7,4,1,2,NA,2,3,4.13793103448276,1.23715298830991
"805",202248,2,6,4,"S",1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,3,3,1,1,1,1,2,2,2,2,3,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,2,1,NA,1,2,1,2,1,45,1,5,2,1,6,3,1,1,NA,2,3,3.31034482758621,0.98972239064793
"806",202250,2,6,4,"S",1,1,1,8,2,2,2,1,2,1,1,1,8,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,NA,2,5,1,2,1,27,6,6,2,1,3,1,3,3,2,4,2,3.3448275862069,1.00003199888385
"807",202257,2,6,4,"U",1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,3,3,3,2,3,3,2,1,3,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,NA,2,1,2,2,1,25,6,4,2,2,1,1,1,3,1,3,3,7.37931034482759,2.20625616248601
"808",202258,2,6,4,"U",1,1,1,1,8,8,1,2,2,8,1,2,1,8,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,1,3,2,2,2,2,2,2,2,2,2,1,NA,1,3,1,2,1,43,6,6,2,3,4,2,1,3,2,3,2,2.75862068965517,0.824768658873275
"809",202262,2,53,4,"S",1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,3,2,2,3,3,3,3,3,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,NA,1,3,1,2,1,21,6,4,2,1,9,4,1,1,NA,4,3,2.58620689655172,0.773220617693695
"810",202278,2,53,4,"S",1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,2,2,2,8,1,NA,2,2,1,2,2,28,1,8,2,1,2,1,1,2,NA,4,2,5,1.49489319420781
"811",202280,2,6,4,"S",1,1,8,1,8,8,8,1,1,2,8,2,2,2,2,1,3,1,3,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,3,1,2,2,54,1,3,2,1,8,4,1,1,NA,1,3,6.79310344827586,2.03099282247544
"813",202287,2,24,3,"U",1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,4,3,3,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,8,NA,2,2,1,1,1,33,1,4,2,1,2,1,1,3,1,2,1,5.75862068965517,1.72170457539796
"814",202289,2,4,4,"U",1,1,2,1,8,3,1,3,1,8,1,2,1,1,2,3,3,3,3,3,1,3,3,3,2,2,1,1,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,2,1,3,2,2,62,5,4,2,1,2,1,1,2,NA,4,2,2.96551724137931,0.886626308288771
"815",202291,2,6,4,"U",1,1,1,1,1,8,8,1,2,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,8,1,NA,2,1,3,2,1,46,6,8,2,1,99,9,1,9,9,9,2,4.44827586206897,1.32993946243316
"816",202294,2,49,4,"U",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,3,1,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,NA,2,2,3,1,2,36,1,6,2,1,5,2,1,1,NA,2,3,6.13793103448276,1.83511026599304
"817",202299,2,53,4,"S",1,1,1,8,8,3,2,1,2,1,1,2,8,8,1,2,2,2,3,3,2,2,2,3,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,8,1,2,2,2,8,8,2,1,2,1,1,1,2,2,2,2,1,1,8,2,8,1,1,2,2,2,2,2,8,1,NA,2,3,1,2,2,99,1,6,2,1,99,4,1,3,1,2,9,2.06896551724138,0.618576494154956
"818",202303,2,32,4,"S",1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,5,1,1,5,5,5,5,2,1,2,2,2,2,1,3,2,2,2,1,3,3,3,2,2,2,2,3,1,2,2,3,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,1,2,1,2,1,48,9,6,2,1,6,3,1,3,9,3,2,2.13793103448276,0.639195710626788
"819",202315,2,6,4,"S",1,1,1,1,2,8,8,1,2,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,NA,2,1,1,2,2,48,3,4,2,3,6,3,1,3,2,3,1,5.72413793103448,1.71139496716205
"820",202320,2,56,4,"R",1,1,1,1,1,8,2,3,2,1,1,8,8,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,8,2,8,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,8,1,NA,1,1,3,2,2,77,5,6,2,1,99,1,1,3,9,2,1,1,0.298978638841562
"821",202324,2,4,4,"U",1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,2,2,2,1,NA,1,1,1,2,2,99,3,6,2,1,8,4,1,3,9,3,3,1,0.298978638841562
"822",202326,2,47,3,"R",1,1,8,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,8,1,NA,2,2,1,1,1,24,1,3,2,1,4,2,1,4,9,2,3,2.62068965517241,0.783530225929612
"824",202347,2,6,4,"R",1,1,1,2,2,2,2,2,2,8,2,2,2,2,2,1,1,2,3,1,3,1,1,1,2,2,1,1,2,1,2,2,2,2,2,8,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2,NA,2,2,3,1,2,21,2,2,1,1,2,1,3,3,9,1,3,7.96551724137931,2.38151950249658
"825",202353,2,42,1,"R",1,1,2,1,2,1,1,1,8,1,1,1,1,1,2,2,1,3,3,2,3,1,1,3,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,NA,2,2,1,1,2,30,1,4,2,1,5,2,1,2,NA,3,2,6.55172413793104,1.95882556482403
"826",202355,2,6,4,"U",1,1,1,8,2,2,8,2,2,2,1,1,2,8,1,2,1,3,3,3,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,9,NA,1,3,2,2,1,20,6,3,1,6,99,9,3,3,9,2,3,5.06896551724138,1.51551241067964
"827",202362,2,31,2,"R",1,1,1,2,1,2,2,8,2,1,1,2,2,8,1,1,1,1,3,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,1,NA,2,1,1,1,2,30,3,3,2,1,4,2,1,1,NA,3,3,5.55172413793104,1.65984692598247
"828",202368,2,53,4,"S",1,1,1,8,8,8,8,8,8,8,1,1,8,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,8,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,8,NA,1,2,3,2,1,20,6,4,2,3,1,1,2,3,9,2,3,2.20689655172414,0.65981492709862
"829",202372,2,32,4,"S",1,1,1,1,8,3,1,1,2,8,1,1,1,1,1,2,2,2,4,3,2,4,1,2,2,9,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,NA,1,3,1,2,1,23,2,6,2,1,6,3,9,2,NA,3,3,1.37931034482759,0.412384329436638
"830",202376,2,22,3,"S",1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,3,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,NA,2,1,1,2,2,26,6,8,2,9,5,2,1,2,NA,4,2,3.93103448275862,1.17529533889442
"831",202388,2,53,4,"S",1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,3,3,2,3,2,3,3,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,3,2,1,20,6,3,2,3,2,1,3,3,2,4,3,3.93103448275862,1.17529533889442
"832",202394,2,4,4,"U",1,1,2,2,2,2,2,2,2,2,1,2,2,8,1,1,1,3,1,1,1,1,1,1,8,2,1,1,8,1,1,8,1,1,2,9,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,NA,2,1,3,2,1,51,3,3,2,1,4,2,9,3,9,8,3,5.48275862068966,1.63922770951063
"833",202400,2,19,2,"R",1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,3,3,3,3,3,3,1,1,3,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,2,NA,2,3,2,2,1,22,6,6,2,2,2,1,1,2,NA,2,3,1.3448275862069,0.402074721200722
"834",202401,2,40,3,"S",1,1,1,8,2,2,2,1,2,2,2,2,2,2,2,1,2,1,3,1,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,2,2,2,2,2,NA,2,1,1,2,1,28,6,5,2,1,6,3,3,3,9,3,3,7.82758620689655,2.34028106955292
"835",202404,2,18,2,"U",1,1,2,8,2,2,2,2,2,1,1,8,2,1,1,3,2,2,2,2,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,NA,2,2,3,2,2,19,6,3,2,1,3,1,3,3,9,3,3,6.6551724137931,1.98975438953178
"836",202414,2,6,4,"U",1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,NA,1,2,3,2,1,57,1,4,2,1,2,1,1,1,NA,3,3,1.62068965517241,0.484551587088049
"837",202421,2,47,3,"U",1,1,1,2,8,1,2,3,2,2,2,2,2,1,2,2,4,2,4,2,2,1,1,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,8,2,2,2,2,2,2,2,2,2,1,NA,1,2,3,2,1,68,1,8,2,1,7,4,1,3,2,2,2,1.41379310344828,0.422693937672554
"839",202434,2,37,3,"U",1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,3,2,3,3,1,1,1,3,2,1,1,1,2,1,2,1,1,1,8,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,8,2,1,2,2,1,2,2,2,2,NA,2,2,1,2,1,24,6,4,2,5,3,1,1,3,9,3,3,4.20689655172414,1.25777220478174
"840",202455,2,17,2,"S",1,1,1,8,2,2,2,3,2,2,1,2,1,1,2,3,3,2,3,1,4,1,1,2,8,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,1,1,1,8,2,2,2,2,2,2,2,2,8,2,NA,2,1,3,2,2,27,6,3,1,6,4,2,3,3,9,8,3,8,2.3918291107325
"841",202458,2,28,3,"U",1,1,1,1,2,2,2,1,1,8,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,NA,2,3,2,1,2,29,1,8,2,1,6,3,1,1,NA,1,1,3.93103448275862,1.17529533889442
"843",202469,2,6,4,"U",1,1,1,8,2,3,1,1,3,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,8,2,2,2,2,2,1,2,2,8,NA,2,2,1,2,2,99,9,6,2,9,99,4,3,3,9,8,3,3.13793103448276,0.938174349468351
"844",202481,2,27,2,"S",1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,3,1,3,3,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1,NA,2,2,1,2,2,28,1,6,2,1,6,3,1,3,2,3,3,3.20689655172414,0.958793565940182
"845",202483,2,53,4,"S",1,1,2,2,2,2,2,1,2,8,1,8,8,1,2,2,2,2,2,2,2,2,2,3,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,53,1,6,2,1,9,4,1,3,2,5,2,2.62068965517241,0.783530225929612
